entrez_id	obsolete_entrez_id	obsolete_symbol
-	134703	LOC134703
-	134704	LOC134704
-	134705	LOC134705
-	134706	LOC134706
-	134707	LOC134707
-	134708	LOC134708
-	134709	LOC134709
-	134710	LOC134710
-	134711	LOC134711
-	134712	LOC134712
-	134713	LOC134713
-	134714	LOC134714
-	134715	LOC134715
-	134716	LOC134716
-	134717	LOC134717
-	134718	LOC134718
-	134719	LOC134719
-	134720	LOC134720
-	134721	LOC134721
-	134722	LOC134722
-	134723	LOC134723
-	134724	LOC134724
-	134725	LOC134725
-	134726	LOC134726
-	134727	LOC134727
-	134729	LOC134729
-	134730	LOC134730
-	134731	LOC134731
-	134732	LOC134732
-	134733	LOC134733
-	134734	LOC134734
-	134735	LOC134735
-	134736	LOC134736
-	134737	LOC134737
-	134738	LOC134738
-	134739	LOC134739
-	134740	LOC134740
-	134741	LOC134741
-	134742	LOC134742
-	134743	LOC134743
-	134744	LOC134744
-	134745	LOC134745
-	134746	LOC134746
-	134747	LOC134747
-	134748	LOC134748
-	134749	LOC134749
-	134750	LOC134750
-	134751	LOC134751
-	134752	LOC134752
-	134753	LOC134753
-	134754	LOC134754
-	134755	LOC134755
-	134757	LOC134757
-	134758	LOC134758
-	134759	LOC134759
-	134760	LOC134760
-	134761	LOC134761
-	134762	LOC134762
-	134763	LOC134763
-	134764	LOC134764
-	134765	LOC134765
-	134766	LOC134766
-	134767	LOC134767
-	134768	LOC134768
-	134769	LOC134769
-	134770	LOC134770
-	134771	LOC134771
-	134772	LOC134772
-	134773	LOC134773
-	134774	LOC134774
-	134775	LOC134775
-	134776	LOC134776
-	134777	LOC134777
-	134778	LOC134778
10455	134779	LOC134779
-	134780	LOC134780
-	134781	LOC134781
-	134782	LOC134782
-	134783	LOC134783
-	134784	LOC134784
-	134785	LOC134785
-	134786	LOC134786
-	134787	LOC134787
-	134788	LOC134788
-	134789	LOC134789
-	134790	LOC134790
-	134791	LOC134791
-	134792	LOC134792
-	134793	LOC134793
-	134794	LOC134794
-	134795	LOC134795
-	134796	LOC134796
-	134797	LOC134797
-	134798	LOC134798
-	134799	LOC134799
-	134800	LOC134800
-	134801	LOC134801
-	134802	LOC134802
-	134803	LOC134803
-	134804	LOC134804
-	134805	LOC134805
-	134806	LOC134806
-	134807	LOC134807
-	134808	LOC134808
-	134809	LOC134809
-	134810	LOC134810
-	134811	LOC134811
-	134812	LOC134812
-	134813	LOC134813
-	134814	LOC134814
-	134815	LOC134815
-	134816	LOC134816
-	134817	LOC134817
-	134818	LOC134818
-	134819	LOC134819
-	134820	LOC134820
-	134821	LOC134821
-	134822	LOC134822
-	134823	LOC134823
-	134824	LOC134824
-	134825	LOC134825
-	134826	LOC134826
-	134827	LOC134827
-	134828	LOC134828
-	134830	LOC134830
-	134831	LOC134831
-	134832	LOC134832
-	134833	LOC134833
-	134834	LOC134834
-	134835	LOC134835
-	134836	LOC134836
-	134837	LOC134837
-	134838	LOC134838
-	134839	LOC134839
-	134840	LOC134840
-	134841	LOC134841
-	134842	LOC134842
-	134843	LOC134843
-	134844	LOC134844
-	134845	LOC134845
-	134846	LOC134846
-	134847	LOC134847
-	134848	LOC134848
-	134849	LOC134849
-	134850	LOC134850
-	134851	LOC134851
-	134852	LOC134852
-	134853	LOC134853
-	134854	LOC134854
-	134855	LOC134855
-	134856	LOC134856
-	134857	LOC134857
-	134858	LOC134858
8417	134859	LOC134859
-	134861	LOC134861
319100	134862	LOC134862
-	134863	LOC134863
-	134865	LOC134865
-	134866	LOC134866
-	134867	LOC134867
-	134868	LOC134868
-	134869	LOC134869
442260	134870	LOC134870
-	134871	LOC134871
-	134872	LOC134872
-	134873	LOC134873
-	134874	LOC134874
-	134875	LOC134875
-	134876	LOC134876
-	134877	LOC134877
-	134878	LOC134878
-	134879	LOC134879
-	134880	LOC134880
-	134881	LOC134881
-	134882	LOC134882
-	134883	LOC134883
-	134884	LOC134884
-	134885	LOC134885
4602	134886	LOC134886
-	134887	LOC134887
-	134888	LOC134888
-	134889	LOC134889
-	134890	LOC134890
-	134891	LOC134891
-	134892	LOC134892
-	134893	LOC134893
-	134894	LOC134894
-	134895	LOC134895
-	134896	LOC134896
442263	134897	LOC134897
-	134898	LOC134898
-	134899	LOC134899
-	134900	LOC134900
-	134901	LOC134901
-	134902	LOC134902
-	134903	LOC134903
-	134904	LOC134904
-	134905	LOC134905
-	134906	LOC134906
-	134907	LOC134907
-	134908	LOC134908
-	134909	LOC134909
-	134910	LOC134910
-	134911	LOC134911
-	134912	LOC134912
10370	134913	LOC134913
-	134914	LOC134914
-	134915	LOC134915
-	134916	LOC134916
-	134917	LOC134917
-	134918	LOC134918
-	134919	LOC134919
-	134920	LOC134920
-	134921	LOC134921
-	134922	LOC134922
-	134923	LOC134923
-	134924	LOC134924
-	134925	LOC134925
-	134926	LOC134926
-	134927	LOC134927
-	134928	LOC134928
-	134929	LOC134929
-	134930	LOC134930
-	134931	LOC134931
-	134932	LOC134932
-	134933	LOC134933
-	134934	LOC134934
-	134935	LOC134935
246269	134936	LOC134936
-	134937	LOC134937
-	134938	LOC134938
-	134939	LOC134939
-	134940	LOC134940
-	134941	LOC134941
-	134942	LOC134942
-	134943	LOC134943
-	134944	LOC134944
-	134945	LOC134945
-	134946	LOC134946
-	134947	LOC134947
-	134948	LOC134948
-	134949	LOC134949
-	134950	LOC134950
-	134951	LOC134951
-	134952	LOC134952
-	134953	LOC134953
-	134954	LOC134954
-	134955	LOC134955
-	134956	LOC134956
-	134958	LOC134958
-	134959	LOC134959
-	134960	LOC134960
-	134961	LOC134961
-	134962	LOC134962
-	134963	LOC134963
-	134964	LOC134964
-	134965	LOC134965
-	134966	LOC134966
-	134967	LOC134967
-	134968	LOC134968
-	134969	LOC134969
-	134970	LOC134970
-	134971	LOC134971
-	134972	LOC134972
-	134973	LOC134973
-	134974	LOC134974
-	134975	LOC134975
-	134976	LOC134976
-	134977	LOC134977
-	134978	LOC134978
-	134979	LOC134979
-	134980	LOC134980
-	134981	LOC134981
-	134982	LOC134982
-	134983	LOC134983
-	134984	LOC134984
-	134985	LOC134985
-	134986	LOC134986
-	134987	LOC134987
-	134988	LOC134988
-	134989	LOC134989
-	134990	LOC134990
-	134991	LOC134991
-	134992	LOC134992
-	134993	LOC134993
442167	134994	LOC134994
-	134995	LOC134995
-	134996	LOC134996
-	134998	LOC134998
-	134999	LOC134999
-	135000	LOC135000
140767	135001	LOC135001
-	135002	LOC135002
-	135003	LOC135003
-	135004	LOC135004
-	135005	LOC135005
-	135006	LOC135006
-	135007	LOC135007
-	135008	LOC135008
-	135009	LOC135009
-	135010	LOC135010
-	135011	LOC135011
-	135012	LOC135012
-	135013	LOC135013
-	135014	LOC135014
-	135015	LOC135015
-	135016	LOC135016
-	135017	LOC135017
-	135018	LOC135018
-	135019	LOC135019
-	135020	LOC135020
-	135021	LOC135021
-	135022	LOC135022
222584	135023	LOC135023
-	135024	LOC135024
-	135025	LOC135025
-	135026	LOC135026
-	135027	LOC135027
-	135028	LOC135028
-	135029	LOC135029
-	135030	LOC135030
-	135031	LOC135031
-	135032	LOC135032
-	135033	LOC135033
-	135034	LOC135034
-	135035	LOC135035
-	135036	LOC135036
-	135037	LOC135037
-	135038	LOC135038
-	135039	LOC135039
-	135040	LOC135040
-	135041	LOC135041
-	135042	LOC135042
-	135043	LOC135043
-	135044	LOC135044
-	135045	LOC135045
-	135046	LOC135046
-	135047	LOC135047
-	135048	LOC135048
-	135049	LOC135049
-	135050	LOC135050
-	135051	LOC135051
-	135052	LOC135052
-	135053	LOC135053
730180	135054	LOC135054
-	135055	LOC135055
-	135056	LOC135056
-	135057	LOC135057
-	135058	LOC135058
9532	135059	LOC135059
-	135060	LOC135060
-	135061	LOC135061
-	135062	LOC135062
-	135063	LOC135063
-	135064	LOC135064
-	135065	LOC135065
-	135066	LOC135066
-	135067	LOC135067
-	135068	LOC135068
-	135069	LOC135069
-	135070	LOC135070
-	135071	LOC135071
-	135072	LOC135072
-	135073	LOC135073
-	135074	LOC135074
-	135075	LOC135075
-	135076	LOC135076
-	135077	LOC135077
-	135078	LOC135078
-	135079	LOC135079
-	135080	LOC135080
-	135081	LOC135081
-	135082	LOC135082
-	135083	LOC135083
-	135084	LOC135084
-	135085	LOC135085
-	135086	LOC135086
-	135087	LOC135087
117289	135088	LOC135088
-	135089	LOC135089
-	135090	LOC135090
-	135091	LOC135091
-	135092	LOC135092
-	135093	LOC135093
-	135094	LOC135094
-	135095	LOC135095
-	135096	LOC135096
-	135097	LOC135097
-	135098	LOC135098
-	135099	LOC135099
-	135100	LOC135100
-	135101	LOC135101
-	135102	LOC135102
-	135103	LOC135103
-	135104	LOC135104
-	135105	LOC135105
-	135106	LOC135106
-	135107	LOC135107
-	135108	LOC135108
-	135109	LOC135109
-	135110	LOC135110
-	135111	LOC135111
-	135113	LOC135113
-	135115	LOC135115
-	135116	LOC135116
-	135117	LOC135117
-	135118	LOC135118
-	135119	LOC135119
-	135120	LOC135120
-	135121	LOC135121
-	135122	LOC135122
387357	135123	C6orf207
-	135124	LOC135124
375513	135125	LOC135125
-	135126	LOC135126
-	135127	LOC135127
-	135128	LOC135128
-	135129	LOC135129
-	135130	LOC135130
55788	135131	LOC135131
-	135132	LOC135132
-	135133	LOC135133
-	135134	LOC135134
-	135135	LOC135135
-	135136	LOC135136
-	135137	LOC135137
-	135139	LOC135139
-	135140	LOC135140
-	135141	LOC135141
-	135142	LOC135142
-	135143	LOC135143
-	135144	LOC135144
-	135145	LOC135145
-	135146	LOC135146
-	135147	LOC135147
-	135148	LOC135148
-	135149	LOC135149
-	135150	LOC135150
-	135151	LOC135151
-	135153	LOC135153
-	135155	LOC135155
-	135156	LOC135156
-	135157	LOC135157
-	135158	LOC135158
-	135159	LOC135159
-	135160	LOC135160
-	135161	LOC135161
-	135162	LOC135162
-	135163	LOC135163
-	135164	LOC135164
-	135165	LOC135165
-	135166	LOC135166
401236	135167	LOC135167
-	135168	LOC135168
-	135169	LOC135169
-	135170	LOC135170
-	135171	LOC135171
-	135172	LOC135172
-	135173	LOC135173
-	135174	LOC135174
-	135175	LOC135175
-	135176	LOC135176
-	135177	LOC135177
-	135178	LOC135178
-	135179	LOC135179
-	135180	LOC135180
-	135181	LOC135181
-	135182	LOC135182
-	135183	LOC135183
-	135184	LOC135184
-	135185	LOC135185
-	135186	LOC135186
-	135187	LOC135187
-	135188	LOC135188
-	135189	LOC135189
-	135190	LOC135190
-	135191	LOC135191
-	135192	LOC135192
-	135193	LOC135193
-	135194	LOC135194
-	135195	LOC135195
222545	135196	LOC135196
-	135197	LOC135197
-	135198	LOC135198
-	135199	LOC135199
-	135200	LOC135200
-	135201	LOC135201
-	135202	LOC135202
-	135203	LOC135203
-	135204	LOC135204
-	135205	LOC135205
-	135206	LOC135206
-	135207	LOC135207
-	135208	LOC135208
-	135209	LOC135209
-	135210	LOC135210
-	135211	LOC135211
-	135212	LOC135212
-	135213	LOC135213
-	135214	LOC135214
-	135215	LOC135215
-	135216	LOC135216
-	135217	LOC135217
-	135218	LOC135218
-	135219	LOC135219
-	135220	LOC135220
-	135221	LOC135221
-	135222	LOC135222
-	135223	LOC135223
-	135224	LOC135224
-	135225	LOC135225
-	135226	LOC135226
135228	135227	LOC135227
-	135229	LOC135229
-	135230	LOC135230
-	135231	LOC135231
-	135232	LOC135232
-	135233	LOC135233
-	135234	LOC135234
-	135235	LOC135235
-	135236	LOC135236
-	135237	LOC135237
-	135238	LOC135238
-	135239	LOC135239
2651	135240	AIGnT
-	135241	LOC135241
-	135242	LOC135242
-	135243	LOC135243
-	135244	LOC135244
-	135245	LOC135245
-	135246	LOC135246
-	135247	LOC135247
-	135248	LOC135248
-	135249	LOC135249
-	135251	LOC135251
-	135252	LOC135252
-	135253	LOC135253
-	135254	LOC135254
-	135255	LOC135255
-	135256	LOC135256
-	135257	LOC135257
-	135258	LOC135258
-	135259	LOC135259
-	135260	LOC135260
-	135261	LOC135261
-	135262	LOC135262
-	135263	LOC135263
-	135264	LOC135264
-	135265	LOC135265
-	135266	LOC135266
-	135267	LOC135267
-	135268	LOC135268
-	135269	LOC135269
-	135271	LOC135271
-	135272	LOC135272
-	135273	LOC135273
-	135274	LOC135274
-	135275	LOC135275
-	135276	LOC135276
-	135277	LOC135277
-	135278	LOC135278
-	135279	LOC135279
-	135280	LOC135280
-	135281	LOC135281
-	135282	LOC135282
-	135283	LOC135283
-	135284	LOC135284
-	135285	LOC135285
-	135286	LOC135286
-	135287	LOC135287
-	135288	LOC135288
-	135289	LOC135289
-	135290	LOC135290
-	135291	LOC135291
-	135292	LOC135292
-	135294	LOC135294
-	135296	LOC135296
-	135297	LOC135297
-	135298	LOC135298
-	135299	LOC135299
-	135300	LOC135300
-	135301	LOC135301
-	135302	LOC135302
1268	135303	LOC135303
-	135304	LOC135304
-	135305	LOC135305
-	135306	LOC135306
-	135307	LOC135307
-	135308	LOC135308
-	135309	LOC135309
-	135310	LOC135310
-	135311	LOC135311
-	135312	LOC135312
-	135313	LOC135313
-	135314	LOC135314
-	135315	LOC135315
-	135316	LOC135316
-	135317	LOC135317
-	135318	LOC135318
-	135319	LOC135319
-	135320	LOC135320
-	135321	LOC135321
-	135322	LOC135322
-	135323	LOC135323
-	135324	LOC135324
-	135325	LOC135325
-	135326	LOC135326
-	135327	LOC135327
-	135328	LOC135328
-	135329	LOC135329
-	135330	LOC135330
-	135331	LOC135331
-	135332	LOC135332
-	135333	LOC135333
-	135334	LOC135334
-	135335	LOC135335
-	135336	LOC135336
-	135337	LOC135337
-	135338	LOC135338
-	135339	LOC135339
-	135340	LOC135340
-	135341	LOC135341
-	135342	LOC135342
-	135343	LOC135343
-	135344	LOC135344
-	135345	LOC135345
-	135346	LOC135346
-	135347	LOC135347
-	135348	LOC135348
-	135349	LOC135349
-	135350	LOC135350
-	135351	LOC135351
-	135352	LOC135352
-	135353	LOC135353
-	135354	LOC135354
-	135355	LOC135355
-	135356	LOC135356
-	135357	LOC135357
-	135358	LOC135358
-	135359	LOC135359
-	135360	LOC135360
401265	135361	LOC135361
-	135362	LOC135362
-	135363	LOC135363
-	135364	LOC135364
-	135365	LOC135365
-	135366	LOC135366
-	135367	LOC135367
-	135368	LOC135368
-	135369	LOC135369
-	135370	LOC135370
-	135371	LOC135371
-	135372	LOC135372
-	135373	LOC135373
28978	135374	LOC135374
-	135375	LOC135375
-	135376	LOC135376
-	135377	LOC135377
-	135378	LOC135378
-	135379	LOC135379
-	135380	LOC135380
5314	135381	LOC135381
-	135382	LOC135382
-	135383	LOC135383
-	135384	LOC135384
-	135385	LOC135385
-	135386	LOC135386
-	135387	LOC135387
-	135388	LOC135388
-	135389	LOC135389
-	135390	LOC135390
83741	135391	LOC135391
-	135392	LOC135392
-	135393	LOC135393
-	135394	LOC135394
-	135395	LOC135395
-	135396	LOC135396
-	135397	LOC135397
-	135399	LOC135399
-	135400	LOC135400
-	135401	LOC135401
-	135402	LOC135402
-	135403	LOC135403
-	135404	LOC135404
-	135405	LOC135405
3186	135406	LOC135406
-	135407	LOC135407
-	135408	LOC135408
442213	135409	LOC135409
-	135410	LOC135410
-	135411	LOC135411
-	135412	LOC135412
-	135413	LOC135413
-	135414	LOC135414
-	135415	LOC135415
-	135416	LOC135416
-	135417	LOC135417
-	135418	LOC135418
-	135419	LOC135419
-	135420	LOC135420
-	135421	LOC135421
-	135422	LOC135422
-	135423	LOC135423
-	135424	LOC135424
-	135425	LOC135425
-	135426	LOC135426
-	135427	LOC135427
347734	135428	LOC135428
-	135429	LOC135429
-	135430	LOC135430
-	135431	LOC135431
-	135432	LOC135432
-	135433	LOC135433
-	135434	LOC135434
-	135435	LOC135435
-	135436	LOC135436
-	135437	LOC135437
-	135438	LOC135438
-	135439	LOC135439
-	135440	LOC135440
-	135441	LOC135441
-	135442	LOC135442
-	135443	LOC135443
-	135444	LOC135444
-	135445	LOC135445
-	135446	LOC135446
-	135447	LOC135447
-	135448	LOC135448
-	135449	LOC135449
-	135450	LOC135450
-	135451	LOC135451
-	135452	LOC135452
-	135453	LOC135453
-	135454	LOC135454
-	135455	LOC135455
-	135456	LOC135456
-	135457	LOC135457
-	135459	LOC135459
-	135460	LOC135460
-	135461	LOC135461
3662	135462	LOC135462
-	135463	LOC135463
-	135464	LOC135464
-	135465	LOC135465
-	135466	LOC135466
-	135467	LOC135467
-	135468	LOC135468
-	135469	LOC135469
-	135470	LOC135470
-	135471	LOC135471
-	135472	LOC135472
9444	135473	LOC135473
-	135474	LOC135474
-	135475	LOC135475
-	135476	LOC135476
-	135477	LOC135477
-	135478	LOC135478
-	135479	LOC135479
-	135480	LOC135480
-	135481	LOC135481
-	135482	LOC135482
-	135483	LOC135483
-	135484	LOC135484
-	135485	LOC135485
-	135486	LOC135486
-	135487	LOC135487
-	135488	LOC135488
-	135489	LOC135489
-	135490	LOC135490
-	135491	LOC135491
-	135492	LOC135492
-	135493	LOC135493
-	135494	LOC135494
-	135495	LOC135495
-	135496	LOC135496
-	135497	LOC135497
-	135498	LOC135498
-	135499	LOC135499
-	135500	LOC135500
-	135501	LOC135501
-	135502	LOC135502
-	135503	LOC135503
-	135504	LOC135504
-	135505	LOC135505
-	135506	LOC135506
-	135507	LOC135507
-	135508	LOC135508
-	135509	LOC135509
-	135510	LOC135510
-	135511	LOC135511
-	135512	LOC135512
-	135513	LOC135513
-	135514	LOC135514
-	135515	LOC135515
-	135516	LOC135516
-	135517	LOC135517
-	135518	LOC135518
442227	135519	LOC135519
-	135520	LOC135520
642489	135521	FKBP1C
-	135522	LOC135522
-	135523	LOC135523
-	135524	LOC135524
-	135525	LOC135525
-	135526	LOC135526
-	135527	LOC135527
-	135528	LOC135528
-	135529	LOC135529
-	135530	LOC135530
-	135531	LOC135531
-	135532	LOC135532
-	135533	LOC135533
-	135534	LOC135534
-	135535	LOC135535
-	135536	LOC135536
-	135537	LOC135537
-	135538	LOC135538
-	135539	LOC135539
-	135540	LOC135540
-	135541	LOC135541
-	135542	LOC135542
-	135543	LOC135543
-	135544	LOC135544
-	135545	LOC135545
-	135546	LOC135546
-	135547	LOC135547
-	135548	LOC135548
-	135549	LOC135549
-	135550	LOC135550
-	135551	LOC135551
-	135552	LOC135552
-	135553	LOC135553
-	135554	LOC135554
-	135555	LOC135555
-	135556	LOC135556
-	135557	LOC135557
-	135558	LOC135558
-	135559	LOC135559
-	135560	LOC135560
-	135561	LOC135561
-	135562	LOC135562
-	135563	LOC135563
-	135564	LOC135564
-	135565	LOC135565
-	135566	LOC135566
-	135567	LOC135567
-	135568	LOC135568
-	135569	LOC135569
-	135570	LOC135570
-	135571	LOC135571
-	135572	LOC135572
-	135573	LOC135573
-	135574	LOC135574
-	135575	LOC135575
-	135576	LOC135576
-	135577	LOC135577
-	135578	LOC135578
-	135579	LOC135579
-	135580	LOC135580
-	135581	LOC135581
-	135582	LOC135582
10384	135583	LOC135583
-	135584	LOC135584
-	135585	LOC135585
-	135586	LOC135586
-	135587	LOC135587
-	135588	LOC135588
-	135589	LOC135589
-	135590	LOC135590
-	135591	LOC135591
-	135592	LOC135592
-	135593	LOC135593
-	135594	LOC135594
-	135595	LOC135595
-	135596	LOC135596
-	135597	LOC135597
-	135598	LOC135598
-	135599	LOC135599
-	135600	LOC135600
-	135601	LOC135601
-	135602	LOC135602
-	135603	LOC135603
-	135604	LOC135604
-	135605	LOC135605
7741	135606	LOC135606
-	135607	LOC135607
-	135608	LOC135608
-	135609	LOC135609
-	135610	LOC135610
-	135611	LOC135611
-	135612	LOC135612
-	135613	LOC135613
-	135614	LOC135614
-	135615	LOC135615
3879	135616	LOC135616
-	135617	LOC135617
-	135618	LOC135618
-	135619	LOC135619
-	135620	LOC135620
-	135621	LOC135621
-	135622	LOC135622
-	135623	LOC135623
-	135624	LOC135624
-	135625	LOC135625
-	135626	LOC135626
-	135627	LOC135627
-	135628	LOC135628
-	135629	LOC135629
-	135630	LOC135630
-	135631	LOC135631
-	135632	LOC135632
-	135633	LOC135633
-	135634	LOC135634
-	135635	LOC135635
-	135636	LOC135636
340198	135637	LOC135637
-	135638	LOC135638
-	135639	LOC135639
-	135640	LOC135640
-	135641	LOC135641
-	135642	LOC135642
-	135643	LOC135643
89870	135645	LOC135645
-	135646	LOC135646
-	135647	LOC135647
-	135648	LOC135648
646520	135649	LOC135649
-	135650	LOC135650
-	135651	LOC135651
-	135652	LOC135652
-	135653	LOC135653
8870	135654	LOC135654
-	135655	LOC135655
-	135657	LOC135657
-	135658	LOC135658
-	135659	LOC135659
-	135660	LOC135660
-	135661	LOC135661
57827	135662	LOC135662
57827	135663	LOC135663
-	135664	LOC135664
-	135665	LOC135665
-	135666	LOC135666
-	135667	LOC135667
-	135668	LOC135668
-	135669	LOC135669
-	135670	LOC135670
-	135671	LOC135671
6890	135672	LOC135672
5505	135673	LOC135673
-	135674	LOC135674
-	135675	LOC135675
-	135676	LOC135676
-	135677	LOC135677
-	135678	LOC135678
-	135679	LOC135679
-	135680	LOC135680
-	135681	LOC135681
221504	135682	LOC135682
-	135683	LOC135683
-	135684	LOC135684
-	135685	LOC135685
-	135686	LOC135686
221496	135687	LOC135687
-	135688	LOC135688
-	135689	LOC135689
-	135690	LOC135690
-	135691	LOC135691
-	135692	LOC135692
-	135693	LOC135693
-	135694	LOC135694
-	135695	LOC135695
-	135696	LOC135696
-	135697	LOC135697
-	135698	LOC135698
-	135699	LOC135699
-	135700	LOC135700
-	135701	LOC135701
-	135702	LOC135702
-	135703	LOC135703
-	135704	LOC135704
-	135705	LOC135705
-	135706	LOC135706
-	135707	LOC135707
-	135708	LOC135708
-	135709	LOC135709
-	135710	LOC135710
-	135711	LOC135711
-	135712	LOC135712
-	135713	LOC135713
-	135714	LOC135714
-	135715	LOC135715
-	135716	LOC135716
-	135717	LOC135717
-	135718	LOC135718
-	135719	LOC135719
-	135720	LOC135720
-	135721	LOC135721
-	135722	LOC135722
-	135723	LOC135723
-	135724	LOC135724
-	135725	LOC135725
-	135726	LOC135726
-	135727	LOC135727
-	135728	LOC135728
89822	135729	LOC135729
-	135730	LOC135730
-	135731	LOC135731
-	135732	LOC135732
-	135733	LOC135733
-	135734	LOC135734
-	135735	LOC135735
-	135736	LOC135736
-	135737	LOC135737
-	135738	LOC135738
-	135739	LOC135739
-	135740	LOC135740
-	135741	LOC135741
-	135742	LOC135742
-	135743	LOC135743
-	135744	LOC135744
-	135745	LOC135745
-	135746	LOC135746
-	135747	LOC135747
-	135748	LOC135748
-	135749	LOC135749
-	135750	LOC135750
-	135751	LOC135751
-	135752	LOC135752
-	135753	LOC135753
-	135754	LOC135754
-	135755	LOC135755
-	135756	LOC135756
-	135757	LOC135757
-	135758	LOC135758
-	135759	LOC135759
-	135760	LOC135760
-	135761	LOC135761
-	135762	LOC135762
129685	135763	LOC135763
-	135764	LOC135764
-	135765	LOC135765
-	135766	LOC135766
-	135767	LOC135767
-	135768	LOC135768
-	135769	LOC135769
-	135770	LOC135770
-	135771	LOC135771
-	135772	LOC135772
-	135773	LOC135773
-	135774	LOC135774
-	135775	LOC135775
-	135776	LOC135776
-	135777	LOC135777
-	135778	LOC135778
-	135779	LOC135779
-	135780	LOC135780
-	135781	LOC135781
-	135782	LOC135782
-	135783	LOC135783
-	135784	LOC135784
-	135785	LOC135785
-	135786	LOC135786
-	135787	LOC135787
-	135788	LOC135788
-	135789	LOC135789
-	135790	LOC135790
-	135791	LOC135791
51406	135792	LOC135792
-	135793	LOC135793
-	135794	LOC135794
-	135795	LOC135795
-	135796	LOC135796
-	135797	LOC135797
-	135798	LOC135798
-	135799	LOC135799
-	135800	LOC135800
-	135801	LOC135801
-	135802	LOC135802
-	135803	LOC135803
-	135804	LOC135804
-	135805	LOC135805
-	135806	LOC135806
-	135807	LOC135807
-	135808	LOC135808
-	135809	LOC135809
-	135810	LOC135810
-	135811	LOC135811
-	135812	LOC135812
-	135813	LOC135813
-	135814	LOC135814
-	135815	LOC135815
-	135816	LOC135816
-	135817	LOC135817
-	135818	LOC135818
-	135819	LOC135819
-	135820	LOC135820
-	135821	LOC135821
-	135822	LOC135822
-	135823	LOC135823
-	135824	LOC135824
-	135825	LOC135825
-	135826	LOC135826
-	135827	LOC135827
-	135828	LOC135828
219557	135829	LOC135829
-	135830	LOC135830
-	135831	LOC135831
-	135832	LOC135832
-	135833	LOC135833
-	135834	LOC135834
-	135835	LOC135835
-	135836	LOC135836
-	135837	LOC135837
-	135838	LOC135838
-	135839	LOC135839
-	135840	LOC135840
-	135841	LOC135841
-	135842	LOC135842
-	135843	LOC135843
-	135844	LOC135844
-	135845	LOC135845
-	135846	LOC135846
-	135847	LOC135847
-	135848	LOC135848
-	135849	LOC135849
-	135850	LOC135850
-	135851	LOC135851
-	135852	LOC135852
-	135853	LOC135853
-	135854	LOC135854
-	135855	LOC135855
-	135856	LOC135856
-	135857	LOC135857
-	135858	LOC135858
-	135859	LOC135859
4967	135860	LOC135860
-	135861	LOC135861
-	135862	LOC135862
-	135863	LOC135863
-	135864	LOC135864
-	135865	LOC135865
-	135866	LOC135866
-	135867	LOC135867
-	135868	LOC135868
-	135869	LOC135869
-	135870	LOC135870
-	135871	LOC135871
-	135872	LOC135872
-	135873	LOC135873
-	135874	LOC135874
-	135875	LOC135875
-	135876	LOC135876
-	135877	LOC135877
-	135878	LOC135878
-	135879	LOC135879
-	135880	LOC135880
-	135881	LOC135881
-	135882	LOC135882
-	135883	LOC135883
-	135884	LOC135884
-	135885	LOC135885
-	135887	LOC135887
1365	135888	LOC135888
-	135889	LOC135889
-	135890	LOC135890
-	135891	LOC135891
-	135893	LOC135893
-	135894	LOC135894
-	135895	LOC135895
81399	135896	OR4F16
-	135897	LOC135897
-	135898	LOC135898
-	135899	LOC135899
-	135900	LOC135900
-	135901	LOC135901
-	135902	LOC135902
-	135903	LOC135903
-	135904	LOC135904
-	135905	LOC135905
-	135906	LOC135906
-	135907	LOC135907
-	135908	LOC135908
-	135909	LOC135909
-	135910	LOC135910
-	135911	LOC135911
-	135912	LOC135912
-	135913	LOC135913
-	135914	LOC135914
-	135915	LOC135915
-	135916	LOC135916
-	135917	LOC135917
-	135918	LOC135918
-	135919	LOC135919
-	135920	LOC135920
-	135921	LOC135921
-	135922	LOC135922
-	135923	LOC135923
-	135925	LOC135925
-	135926	LOC135926
-	135928	LOC135928
-	135929	LOC135929
259286	135930	LOC135930
-	135931	LOC135931
-	135933	LOC135933
-	135934	LOC135934
-	135936	LOC135936
-	135937	LOC135937
-	135938	LOC135938
-	135939	LOC135939
-	135940	LOC135940
-	135943	LOC135943
393046	135944	OR2A5
-	135945	LOC135945
-	135947	LOC135947
-	135949	LOC135949
-	135950	LOC135950
-	135951	LOC135951
-	135952	LOC135952
-	135953	LOC135953
-	135954	LOC135954
-	135955	LOC135955
-	135956	LOC135956
-	135957	LOC135957
-	135958	LOC135958
-	135959	LOC135959
-	135960	LOC135960
-	135961	LOC135961
-	135962	LOC135962
-	135963	LOC135963
-	135964	LOC135964
-	135965	LOC135965
-	135966	LOC135966
-	135967	LOC135967
-	135968	LOC135968
-	135969	LOC135969
-	135970	LOC135970
-	135971	LOC135971
-	135972	LOC135972
-	135973	LOC135973
-	135974	LOC135974
-	135975	LOC135975
-	135976	LOC135976
-	135977	LOC135977
-	135978	LOC135978
-	135979	LOC135979
-	135980	LOC135980
-	135981	LOC135981
442309	135982	LOC135982
-	135983	LOC135983
-	135984	LOC135984
-	135985	LOC135985
-	135986	LOC135986
728376	135987	LOC135987
-	135988	LOC135988
-	135989	LOC135989
-	135990	LOC135990
-	135991	LOC135991
-	135992	LOC135992
-	135993	LOC135993
-	135994	LOC135994
-	135995	LOC135995
-	135996	LOC135996
-	135997	LOC135997
-	135998	LOC135998
