entrez_id	obsolete_entrez_id	obsolete_symbol
1564	1567	CYP2D7P2
1565	1569	CYP2DL1
1568	1570	CYP2DP1
-	1574	CYP3A
1576	1575	CYP3A3
2703	1597	CZP1
2700	1598	CZP2
2700	1599	CZP3
488	1614	DAR
1620	1619	DBCCR1
-	1625	DBIL3
-	1626	DBIL4
1718	1631	DCE
10540	1640	DCTN2
4137	1651	DDPAC
338453	1658	DDX7
440081	1664	DDX12
5631	1679	DFN2
-	1681	DFN5
23676	1682	DFN6
2950	1683	DFN7
-	1684	DFN8
2707	1685	DFNA2
79784	1686	DFNA4
7466	1688	DFNA6
2070	1691	DFNA10
1302	1692	DFNA13
7466	1693	DFNA14
4627	1695	DFNA17
-	1696	DFNA19
259236	1698	DFNB6
117531	1699	DFNB7
64699	1700	DFNB8
9381	1701	DFNB9
64699	1702	DFNB10
117531	1703	DFNB11
64072	1704	DFNB12
126326	1707	DFNB15
161497	1708	STRC
10083	1710	DFNB18
23312	1711	DMXL2
-	1712	DFNB19
1834	1715	DGI1
729816	1721	DHFRP2
200895	1722	DHFRP4
64840	1724	DHOF
2202	1726	DHRD
1748	1751	DLX9
1760	1752	DM1
7555	1753	DM2
147912	1754	SIX5
25981	1764	DNAH1
146754	1765	DNAH2
55567	1766	DNAH3
-	1771	DNAH13
127602	1772	DNAH14
79659	1779	DNCH2
1778	1782	DNCL
1243	1790	DNS
420	1792	DO
1798	1799	DPAGT2
190	1835	DSS
441554	1851	DUSP8P1
441554	1853	DUSPP
8518	1860	DYS
3208	1862	DYT2
6872	1863	DYT3
10382	1864	DYT4
55145	1865	DYT6
9856	1868	DYX2
100420003	1873	E2F3P2
3785	1882	EBN1
3786	1883	EBN2
-	1885	EBR4
5339	1886	EBS1
-	1887	EBVM1
-	1895	ED#
10804	1897	ED2
10913	1898	ED3
5818	1899	ED4
780	1900	EDDR1
1311	1904	EDM1
1298	1905	EDM2
1915	1916	EEF1A1L14
100421865	1919	EEF1A1P3
100421854	1920	EEF1A1P4
158078	1921	EEF1AL3
221838	1922	EEF1AL4
390924	1923	EEF1AL5
389179	1924	EEF1AL6
441032	1925	EEF1AL7
100421829	1926	EEF1A1P10
440595	1927	EEF1AL9
644604	1928	EEF1AL10
133283	1929	EEF1AL11
647167	1930	EEF1AL12
643563	1931	EEF1AL13
644820	1935	EEF1B4
57526	1941	EFMR
10209	1963	EIF1
83939	1966	EIF2A
3692	1971	EIF3A
1964	1976	EIF4C
143244	1985	EIF5AP1
114327	1988	EJM1
2707	1989	EKV
-	2007	ELNL1
2720	2008	ELNR1
2023	2024	ENO1L1
9211	2061	EPT
5034	2062	ERBA2L
1161	2075	ERCC8
2048	2080	ERK
-	2082	ERPL1
-	2083	ERPL2
6541	2084	ERR
-	2085	ERV1
-	2087	ERVK2
-	2088	ERVK3
-	2089	ERVT1
-	2092	ERVT2
-	2093	ERVT3
-	2094	ERVT4
-	2095	ERVT5
144847	2102	ESRRAP
1326	2105	ESTF
1999	2106	ESX
1814	2111	ETM1
8322	2126	EVR1
4693	2127	EVR2
344191	2129	EVX2
100287682	2136	EXTL2P
4948	2142	EYCL2
112812	2143	FDX2
4948	2144	EYCL3
-	2148	F2L
3998	2154	F5F8D
-	2163	F13A2
-	2164	F13A3
646480	2174	FABP9
2180	2179	FACL1
2950	2183	FAEES3
2175	2190	FANCH
-	2198	FAUNA@
100132417	2211	FCGR1C
128	2223	FDH
343332	2225	FDPSL1
392063	2226	FDPSL2
645931	2238	FENL1
55605	2240	FEOM1
100462812	2265	FGFR6
9968	2269	FGS1
2290	2291	FOXG1
2290	2292	FOXG1C
2290	2293	FKHL4
645	2320	FLR
342184	2325	FMN
9513	2333	FMR1L2
257	2336	FND
-	2337	FNL1
100422691	2338	FNRBL
283226	2340	FNTAL1
-	2343	FNTBL1
219595	2344	FOLH2
-	2345	FNZ
219595	2347	FOLHP
390221	2349	FOLR1P
-	2351	FOLR2L
109113861	2373	FRA2A
2272	2385	FRA3B
-	2392	FRA4E
109363672	2408	FRA7A
-	2424	FRA8F
109280162	2431	FRA10A
109614541	2432	FRA10B
109286555	2438	FRA11A
109280160	2439	FRA11B
109286554	2448	FRA12A
109617027	2460	FRA16A
109611591	2461	FRA16B
2475	2476	FRAP2
108684022	2477	FRAXA
109461475	2481	FRAXE
84548	2482	FRAXF
-	2484	FRV1
-	2485	FRV2
-	2486	FRV3
2919	2493	FSP
646362	2505	FTHL13
-	2506	FTHL14
646362	2511	FTHP3
284764	2513	FTLL1
392437	2514	FTLL2
9636	2536	G1P2
-	2540	G6PDL
2542	2544	G6PT2
2542	2545	G6PT3
-	2546	G7P1
2553	2552	GABPB1
-	2573	GAD3
-	2575	GAGE3
51083	2586	GAL
23193	2594	GANAB
391077	2598	GAPDHL1
2616	2599	GAPDHL2
645024	2600	GAPDHL3
7180	2602	GAPDL5
729403	2603	GAPDHL6
100128961	2604	GAPDHL7
442231	2605	GAPDHL8
391069	2606	GAPDHL9
389849	2607	GAPDHL10
645256	2608	GAPDHL11
100132601	2610	GAPDHL13
642259	2612	GAPDHL15
-	2614	GAPDHL17
-	2640	GCF1
1738	2654	GCSL
79017	2655	GCTG
8200	2659	GDF5
9563	2663	GDH
394	2666	GFI2
2679	2680	GGT3
121328	2682	GGTA1P
-	2684	GGTL1
-	2685	GGTL2
-	2699	GJA2
2697	2704	GJAL
127534	2708	GJB4
201989	2711	GK7P
-	2714	GKP4
-	2715	GKP5
130589	2718	GLAT
-	2721	GLC#
10133	2725	GLC1E
136371	2726	GLC1F
-	2727	GLC2A
-	2748	LOC2748
401708	2755	GLULL3
